SceneImage,Object,consistency_category,Consistent,Inverted,Duration
red.jpg,Swimming Pool,AttentionCheck,AttentionCheck,No,350
orange.jpg,Golf Course,AttentionCheck,AttentionCheck,No,350
green.jpg,Skyscraper,AttentionCheck,AttentionCheck,No,350
blue.jpg,Mountain,AttentionCheck,AttentionCheck,No,350
gray.jpg,Pineapple,AttentionCheck,AttentionCheck,No,350
red.jpg,Banana,AttentionCheck,AttentionCheck,No,350
orange.jpg,Airplane,AttentionCheck,AttentionCheck,No,350
green.jpg,Fire Truck,AttentionCheck,AttentionCheck,No,350
blue.jpg,Apple,AttentionCheck,AttentionCheck,No,350
gray.jpg,Guitar,AttentionCheck,AttentionCheck,No,350