SceneImage,Object,Basic,Superordinate,Supersuperordinate
basketball_net.jpg,Bench,Playground,Human,Outdoors
bathroom2.jpg,Shower Head,Bathroom,Private,Indoors
bathroom3.jpg,Toilet Paper,Bathroom,Private,Indoors
bathroom4.jpg,Razor,Bathroom,Private,Indoors
bathroom6.jpg,Plunger,Bathroom,Private,Indoors
bathroom7.jpg,Soap Bar,Bathroom,Private,Indoors
bedroom11.jpg,Nightstand,Bedroom,Private,Indoors
bedroom12.jpg,Dresser,Bedroom,Private,Indoors
bedroom13.jpg,Laundry Hamper,Bedroom,Private,Indoors
bedroom5.jpg,Alarm Clock,Bedroom,Private,Indoors
bedroom14.jpg,Comforter Blanket,Bedroom,Private,Indoors
bell.jpg,Coffee Maker,Living Room,Private,Indoors
bin.jpg,Rocking Chair,Living Room,Private,Indoors
blender.jpg,Pan,Kitchen,Private,Indoors
brick_apartment.png,Bird Bath,Suburban,Human,Outdoors
briefcase.jpg,Printer,Office,Public,Indoors
bust.jpg,TV Remote,Living Room,Private,Indoors
child_bedroom.png,Teddy Bear,Bedroom,Private,Indoors
citycenter10.jpg,Souvenir Stand,City Center,Human,Outdoors
citycenter11.jpg,Horse Carriage,City Center,Human,Outdoors
citycenter12.jpg,Historic Plaque,City Center,Human,Outdoors
citycenter2.jpg,Taxi,City Center,Human,Outdoors
citycenter26.jpg,Sculpture,City Center,Human,Outdoors
class11.jpg,Backpack,Classroom,Public,Indoors
class3.jpg,Notebook,Classroom,Public,Indoors
class6.jpg,Textbook,Classroom,Public,Indoors
class8.jpg,Pencil Case,Classroom,Public,Indoors
class9.jpg,Crayons,Classroom,Public,Indoors
clock.jpg,Stop Sign,Urban Street,Human,Outdoors
coast10.jpg,Surfboard,Coast,Natural,Outdoors
coast3.jpg,Buoy,Coast,Natural,Outdoors
coast11.jpg,Lifeguard Tower,Coast,Natural,Outdoors
coast7.jpg,Beach Towel,Coast,Natural,Outdoors
coast8.jpg,Lighthouse,Coast,Natural,Outdoors
coffeemaker.jpg,Cutting Board,Practice,Practice,Practice
conference1.jpg,Briefcase,Conference Room,Public,Indoors
conference3.jpg,Phone Set,Conference Room,Public,Indoors
conference8.jpg,Projector Screen,Conference Room,Public,Indoors
conference5.jpg,Laptop,Conference Room,Public,Indoors
conference7.jpg,Projector,Conference Room,Public,Indoors
corridor1.jpg,Drinking Fountain,Corridor,Public,Indoors
corridor2.jpg,Bathroom Sign,Corridor,Public,Indoors
corridor3.jpg,Fire Extinguisher,Corridor,Public,Indoors
corridor4.jpg,Exit Sign,Corridor,Public,Indoors
corridor5.jpg,Fire Alarm,Corridor,Public,Indoors
dining3.jpg,Plate,Dining Room,Private,Indoors
dining5.jpg,Bowl,Dining Room,Private,Indoors
dining6.jpg,Tablecloth,Dining Room,Private,Indoors
dining7.jpg,Spoon,Dining Room,Private,Indoors
dining8.jpg,Fork,Dining Room,Private,Indoors
elephant.jpg,Napkin,Dining Room,Private,Indoors
fan.jpg,Calculator,Office,Public,Indoors
farm1.jpg,Hay Bale,Farm,Natural,Outdoors
farm2.jpg,Wheelbarrow,Farm,Natural,Outdoors
farm3.jpg,Scarecrow,Farm,Natural,Outdoors
farm4.jpg,Feeding Trough,Farm,Natural,Outdoors
farm7.jpg,Tractor,Farm,Natural,Outdoors
fire_hydrant.jpg,Flag Pole,City Center,Human,Outdoors
flowers.jpg,Picture Frame,Living Room,Private,Indoors
forest1.jpg,Toadstool Mushroom,Forest,Natural,Outdoors
forest14.jpg,Camping Tent,Forest,Natural,Outdoors
forest11.jpg,Log Cabin,Forest,Natural,Outdoors
forest2.jpg,Bird Nest,Forest,Natural,Outdoors
forest9.jpg,Axe,Forest,Natural,Outdoors
fruit_bowl.jpg,Blender,Kitchen,Private,Indoors
glass.jpg,Toaster,Kitchen,Private,Indoors
highway10.jpg,Billboard,Highway,Human,Outdoors
highway12.jpg,Motorcycle,Highway,Human,Outdoors
highway6.jpg,Speed Limit Sign,Highway,Human,Outdoors
highway8.jpg,Yield Sign,Highway,Human,Outdoors
highway9.jpg,Road Work Sign,Highway,Human,Outdoors
kitchen10.jpg,Rolling Pin,Kitchen,Private,Indoors
kitchen13.jpg,Stand Mixer,Kitchen,Private,Indoors
kitchen15.jpg,Apron,Kitchen,Private,Indoors
kitchen17.jpg,Baking Tray,Kitchen,Private,Indoors
kitchen16.jpg,Oven Mitts,Kitchen,Private,Indoors
living13.jpg,DVD Player,Living Room,Private,Indoors
living16.jpg,Television,Living Room,Private,Indoors
living17.jpg,Armchair Recliner,Living Room,Private,Indoors
living6.jpg,Vase,Living Room,Private,Indoors
living9.jpg,Ottoman,Living Room,Private,Indoors
MDS201.jpg,Rock,Forest,Natural,Outdoors
modern_livingroom.png,Floor Lamp,Living Room,Private,Indoors
natural_fall.png,Fishing Rod,Forest,Natural,Outdoors
Nature14.jpg,Wild Berries,Forest,Natural,Outdoors
Nature22.jpg,Wildflower,Forest,Natural,Outdoors
Nature36.jpg,Lily Pad,Forest,Natural,Outdoors
Nature40.jpg,Kayak,Forest,Natural,Outdoors
Nature47.jpg,Fishing Boat,Coast,Natural,Outdoors
office1.jpg,Pencil Holder,Office,Public,Indoors
office10.jpg,Stapler,Office,Public,Indoors
office4.jpg,Tape Dispenser,Office,Public,Indoors
office8.jpg,Sticky Notes,Office,Public,Indoors
office9.jpg,Paper Shredder,Office,Public,Indoors
opencountry1.jpg,Wire Fence,Open Country,Natural,Outdoors
opencountry2.jpg,Farmhouse,Open Country,Natural,Outdoors
opencountry3.jpg,Windmill,Open Country,Natural,Outdoors
opencountry5.jpg,Pitchfork,Open Country,Natural,Outdoors
opencountry8.jpg,Radio Tower,Open Country,Natural,Outdoors
plant_bathroom.png,Slippers,Bathroom,Private,Indoors
play10.jpg,Picnic Table,Playground,Human,Outdoors
play12.jpg,Seesaw,Playground,Human,Outdoors
play2.jpg,Swing Set,Playground,Human,Outdoors
play3.jpg,Sandbox,Playground,Human,Outdoors
play5.jpg,Soccer Ball,Playground,Human,Outdoors
pond.png,Birdhouse,Suburban,Natural,Outdoors
suburb1.jpg,Lawn Mower,Suburban,Human,Outdoors
suburb2.jpg,Fire Hydrant,Suburban,Human,Outdoors
suburb3.jpg,Mailbox,Suburban,Human,Outdoors
suburb4.jpg,Crosswalk,Suburban,Human,Outdoors
suburb6.jpg,Utility Pole,Suburban,Human,Outdoors
tan_kitchen.png,Knife,Kitchen,Private,Indoors
Urban_Image_08.jpg,Traffic Light,Suburban,Human,Outdoors
Urban10.jpg,Bicycle,Suburban,Human,Outdoors
Urban14.jpg,Parking Meter,Suburban,Human,Outdoors
urbanstreet1.jpg,Newspaper Box,Urban Street,Human,Outdoors
urbanstreet12.jpg,Telephone Booth,Urban Street,Human,Outdoors
urbanstreet19.jpg,Subway Station Sign,Urban Street,Human,Outdoors
urbanstreet28.jpg,Crosswalk Signal,Urban Street,Human,Outdoors
urbanstreet30.jpg,Bus Stop Shelter,Urban Street,Human,Outdoors
wood_kitchen.png,Broom,Kitchen,Private,Indoors